feature,importance
product_category,2354
lead_time_days_estimated,2249
distance_km,2062
purchase_hour,2029
seller_avg_review_score,1951
seller_historical_delay_rate,1684
total_freight,1586
avg_product_volume_cm3,1437
total_weight_g,1378
freight_ratio,1339
total_price,1178
total_payment,1123
customer_state,975
purchase_month,863
max_installments,530
seller_state,501
purchase_day_of_week,456
total_items,215
is_same_state,163
primary_payment_type,149
